org_standard,org_order,org_family,org_genus,org_species,org_subspecies,org_clean
AUREOBASIDIUM PULLULANS,DOTHIDEALES,SACCOTHECIACEAE,AUREOBASIDIUM,PULLULANS,,AUREOBASIDIUM PULLULANS
AUREROBASIDIUM PULLULANS,DOTHIDEALES,SACCOTHECIACEAE,AUREOBASIDIUM,PULLULANS,,AUREOBASIDIUM PULLULANS
SHEWANELLA ALGAE,DOTHIDEALES,SHEWANELLACEAE,SHEWANELLA,ALGAE,,SHEWANELLA ALGAE
SHEWANELLA PUTREFACIENS,DOTHIDEALES,SHEWANELLACEAE,SHEWANELLA,PUTREFACIENS,,SHEWANELLA PUTREFACIENS
SHEWANELLA PUTREFACIENS GROUP,DOTHIDEALES,SHEWANELLACEAE,SHEWANELLA,PUTREFACIENS,GROUP,SHEWANELLA PUTREFACIENS
SHEWANELLA SP,DOTHIDEALES,SHEWANELLACEAE,SHEWANELLA,SP,,SHEWANELLA SP
BUTTIAUXELLA AGRESTIS,ENTEROBACTERALES,ENTEROBACTERIACEAE,BUTTIAUXELLA,AGRESTIS,,BUTTIAUXELLA AGRESTIS
BUTTIAUXELLA GAVINIAE,ENTEROBACTERALES,ENTEROBACTERIACEAE,BUTTIAUXELLA,GAVINIAE,,BUTTIAUXELLA GAVINIAE
BUTTIAUXELLA SP,ENTEROBACTERALES,ENTEROBACTERIACEAE,BUTTIAUXELLA,SP,,BUTTIAUXELLA SP
BUXTIAXELLA SP,ENTEROBACTERALES,ENTEROBACTERIACEAE,BUTTIAUXELLA,SP,,BUTTIAUXELLA SP
BUTTIAUXELLA SPP,ENTEROBACTERALES,ENTEROBACTERIACEAE,BUTTIAUXELLA,SP,,BUTTIAUXELLA SP
CEDECEA DAVISAE,ENTEROBACTERALES,ENTEROBACTERIACEAE,CEDECEA,DAVISAE,,CEDECEA DAVISAE
CEDECEA LAPAGEI,ENTEROBACTERALES,ENTEROBACTERIACEAE,CEDECEA,LAPAGEI,,CEDECEA LAPAGEI
CEDECEA NETERI,ENTEROBACTERALES,ENTEROBACTERIACEAE,CEDECEA,NETERI,,CEDECEA NETERI
CEDECEA SP,ENTEROBACTERALES,ENTEROBACTERIACEAE,CEDECEA,SP,,CEDECEA SP
CEDECEA SP,ENTEROBACTERALES,ENTEROBACTERIACEAE,CEDECEA,SP,,CEDECEA SP
CITROBACTER AMALONATICUS,ENTEROBACTERALES,ENTEROBACTERIACEAE,CITROBACTER,AMALONATICUS,,CITROBACTER AMALONATICUS
CITROBACTER BRAAKII,ENTEROBACTERALES,ENTEROBACTERIACEAE,CITROBACTER,BRAAKII,,CITROBACTER BRAAKII
CITROBACTER FARMERI,ENTEROBACTERALES,ENTEROBACTERIACEAE,CITROBACTER,FARMERI,,CITROBACTER FARMERI
CITROBACTER FREUNDII,ENTEROBACTERALES,ENTEROBACTERIACEAE,CITROBACTER,FREUNDII,,CITROBACTER FREUNDII
CITROBACTER KOSERI,ENTEROBACTERALES,ENTEROBACTERIACEAE,CITROBACTER,KOSERI,,CITROBACTER KOSERI
CITROBACTER SEDLAKII,ENTEROBACTERALES,ENTEROBACTERIACEAE,CITROBACTER,SEDLAKII,,CITROBACTER SEDLAKII
CITROBACTER SP,ENTEROBACTERALES,ENTEROBACTERIACEAE,CITROBACTER,SP,,CITROBACTER SP
CITROBACTER WERKMANII,ENTEROBACTERALES,ENTEROBACTERIACEAE,CITROBACTER,WERKMANII,,CITROBACTER WERKMANII
CITROBACTER YOUNGAE,ENTEROBACTERALES,ENTEROBACTERIACEAE,CITROBACTER,YOUNGAE,,CITROBACTER YOUNGAE
CRONOBACTER SAKAZAKII,ENTEROBACTERALES,ENTEROBACTERIACEAE,CRONOBACTER,SAKAZAKII,,CRONOBACTER SAKAZAKII
CRONOBACTER SAKAZAKII GROUP,ENTEROBACTERALES,ENTEROBACTERIACEAE,CRONOBACTER,SAKAZAKII,,CRONOBACTER SAKAZAKII
CRONOBACTER,ENTEROBACTERALES,ENTEROBACTERIACEAE,CRONOBACTER,SP,,CRONOBACTER SP
CRONOBACTER SP,ENTEROBACTERALES,ENTEROBACTERIACEAE,CRONOBACTER,SP,,CRONOBACTER SP
ENTEROBACTER AEROGENES,ENTEROBACTERALES,ENTEROBACTERIACEAE,ENTEROBACTER,AEROGENES,,ENTEROBACTER AEROGENES
ENTEROBACTER AMNIGENUS,ENTEROBACTERALES,ENTEROBACTERIACEAE,ENTEROBACTER,AMNIGENUS,,ENTEROBACTER AMNIGENUS
ENTEROBACTER ASBURIAE,ENTEROBACTERALES,ENTEROBACTERIACEAE,ENTEROBACTER,ASBURIAE,,ENTEROBACTER ASBURIAE
ENTEROBACTER BUGANDENSIS,ENTEROBACTERALES,ENTEROBACTERIACEAE,ENTEROBACTER,BUGANDENSIS,,ENTEROBACTER BUGANDENSIS
ENTEROBACTER CANCEROGENUS,ENTEROBACTERALES,ENTEROBACTERIACEAE,ENTEROBACTER,CANCEROGENUS,,ENTEROBACTER CANCEROGENUS
ENTEROBACTER CLOACAE,ENTEROBACTERALES,ENTEROBACTERIACEAE,ENTEROBACTER,CLOACAE,,ENTEROBACTER CLOACAE
ENTEROBACTER CLOACAE COMPLEX,ENTEROBACTERALES,ENTEROBACTERIACEAE,ENTEROBACTER,CLOACAE,COMPLEX,ENTEROBACTER CLOACAE
ENTEROBACTER CLOACAE SSP CLOACAE,ENTEROBACTERALES,ENTEROBACTERIACEAE,ENTEROBACTER,CLOACAE,,ENTEROBACTER CLOACAE
ENTEROBACTER GERGOVIAE,ENTEROBACTERALES,ENTEROBACTERIACEAE,ENTEROBACTER,GERGOVIAE,,ENTEROBACTER GERGOVIAE
ENTEROBACTER HORMAECHEI,ENTEROBACTERALES,ENTEROBACTERIACEAE,ENTEROBACTER,HORMAECHEI,,ENTEROBACTER HORMAECHEI
ENTEROBACTER SP,ENTEROBACTERALES,ENTEROBACTERIACEAE,ENTEROBACTER,SP,,ENTEROBACTER SP
ESCHERICHIA ALBERTI,ENTEROBACTERALES,ENTEROBACTERIACEAE,ESCHERICHIA,ALBERTI,,ESCHERICHIA ALBERTI
E COLI,ENTEROBACTERALES,ENTEROBACTERIACEAE,ESCHERICHIA,COLI,,ESCHERICHIA COLI
ESCHERICHIA FERGUSONII,ENTEROBACTERALES,ENTEROBACTERIACEAE,ESCHERICHIA,FERGUSONII,,ESCHERICHIA FERGUSONII
ESCHERICHIA HERMANNII,ENTEROBACTERALES,ENTEROBACTERIACEAE,ESCHERICHIA,HERMANNII,,ESCHERICHIA HERMANNII
ESCHERICHIA SP,ENTEROBACTERALES,ENTEROBACTERIACEAE,ESCHERICHIA,SP,,ESCHERICHIA SP
ESCHERICHIA VULNERIS,ENTEROBACTERALES,ENTEROBACTERIACEAE,ESCHERICHIA,VULNERIS,,ESCHERICHIA VULNERIS
KLEB AEROGENES,ENTEROBACTERALES,ENTEROBACTERIACEAE,KLEBSIELLA,AEROGENES,,KLEBSIELLA AEROGENES
KLEBSIELLA AEROGENES,ENTEROBACTERALES,ENTEROBACTERIACEAE,KLEBSIELLA,AEROGENES,,KLEBSIELLA AEROGENES
KLEBSIELLA AROGENES,ENTEROBACTERALES,ENTEROBACTERIACEAE,KLEBSIELLA,AEROGENES,,KLEBSIELLA AEROGENES
KLEBSIELLS AEROGENES,ENTEROBACTERALES,ENTEROBACTERIACEAE,KLEBSIELLA,AEROGENES,,KLEBSIELLA AEROGENES
KLEBSIELLA OXYTOCA,ENTEROBACTERALES,ENTEROBACTERIACEAE,KLEBSIELLA,OXYTOCA,,KLEBSIELLA OXYTOCA
KLEBSIELLA OZAENAE,ENTEROBACTERALES,ENTEROBACTERIACEAE,KLEBSIELLA,OZAENAE,,KLEBSIELLA OZAENAE
KLEBSIELLA PNEUMONIAE,ENTEROBACTERALES,ENTEROBACTERIACEAE,KLEBSIELLA,PNEUMONIAE,,KLEBSIELLA PNEUMONIAE
KLEBSIELLA PNEUMONIAE SSP OZAENAE,ENTEROBACTERALES,ENTEROBACTERIACEAE,KLEBSIELLA,PNEUMONIAE,OZAENAE,KLEBSIELLA PNEUMONIAE
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,ENTEROBACTERALES,ENTEROBACTERIACEAE,KLEBSIELLA,PNEUMONIAE,PNEUMONIAE,KLEBSIELLA PNEUMONIAE
KLEBSIELLA PNEUMONIAE SSP RHINOSCLEROMATIS,ENTEROBACTERALES,ENTEROBACTERIACEAE,KLEBSIELLA,PNEUMONIAE,RHINOSCLEROMATIS,KLEBSIELLA PNEUMONIAE
KLEBSIELLA PNEUMONIAESSP OZAENAE,ENTEROBACTERALES,ENTEROBACTERIACEAE,KLEBSIELLA,PNEUMONIAE,OZAENAE,KLEBSIELLA PNEUMONIAE
KLEBSIELLA SP,ENTEROBACTERALES,ENTEROBACTERIACEAE,KLEBSIELLA,SP,,KLEBSIELLA SP
KLEBSIELLA VARIICOLA,ENTEROBACTERALES,ENTEROBACTERIACEAE,KLEBSIELLA,VARIICOLA,,KLEBSIELLA VARIICOLA
KLUYVERA ASCORBATA,ENTEROBACTERALES,ENTEROBACTERIACEAE,KLUYVERA,ASCORBATA,,KLUYVERA ASCORBATA
KLUYVERA CRYOCRESCENS,ENTEROBACTERALES,ENTEROBACTERIACEAE,KLUYVERA,CRYOCRESCENS,,KLUYVERA CRYOCRESCENS
KLUYVERA INTERMEDIA,ENTEROBACTERALES,ENTEROBACTERIACEAE,KLUYVERA,INTERMEDIA,,KLUYVERA INTERMEDIA
KLULYVERA SP,ENTEROBACTERALES,ENTEROBACTERIACEAE,KLUYVERA,SP,,KLUYVERA SP
KLUYVERA SP,ENTEROBACTERALES,ENTEROBACTERIACEAE,KLUYVERA,SP,,KLUYVERA SP
KOSAKONIA COWANII,ENTEROBACTERALES,ENTEROBACTERIACEAE,KOSAKONIA,COWANII,,KOSAKONIA COWANII
LECLERCIA ADECARBOXYLATA,ENTEROBACTERALES,ENTEROBACTERIACEAE,LECLERCIA,ADECARBOXYLATA,,LECLERCIA ADECARBOXYLATA
LECLERCIA SP,ENTEROBACTERALES,ENTEROBACTERIACEAE,LECLERCIA,SP,,LECLERCIA SP
LECLERCIA SP,ENTEROBACTERALES,ENTEROBACTERIACEAE,LECLERCIA,SP,,LECLERCIA SP
LEIFSONIA AQUATICA,ENTEROBACTERALES,ENTEROBACTERIACEAE,LEIFSONIA,AQUATICA,,LEIFSONIA AQUATICA
LELLIOTIA AMNIGENA,ENTEROBACTERALES,ENTEROBACTERIACEAE,LELLIOTTIA,AMNIGENA,,LELLIOTTIA AMNIGENA
LELLIOTTIA AMNIGENA,ENTEROBACTERALES,ENTEROBACTERIACEAE,LELLIOTTIA,AMNIGENA,,LELLIOTTIA AMNIGENA
LELLIOTTIA SP,ENTEROBACTERALES,ENTEROBACTERIACEAE,LELLIOTTIA,SP,,LELLIOTTIA SP
PLESIOMONAS SHIGELLOIDES,ENTEROBACTERALES,ENTEROBACTERIACEAE,PLESIOMONAS,SHIGELLOIDES,,PLESIOMONAS SHIGELLOIDES
PLURALIBACTER GERGOVIAE,ENTEROBACTERALES,ENTEROBACTERIACEAE,PLURALIBACTER,GERGOVIAE,,PLURALIBACTER GERGOVIAE
PLURALIBACTER SP,ENTEROBACTERALES,ENTEROBACTERIACEAE,PLURALIBACTER,SP,,PLURALIBACTER SP
PLURALIBACTER,ENTEROBACTERALES,ENTEROBACTERIACEAE,PLURALIBACTER,,,PLURALIBACTER 
PSEUDESCHERICHIA SPP,ENTEROBACTERALES,ENTEROBACTERIACEAE,PSEUDESCHERICHIA,SP,,PSEUDESCHERICHIA SP
RAOULTELLA ORNITHINOLYTICA,ENTEROBACTERALES,ENTEROBACTERIACEAE,RAOULTELLA,ORNITHINOLYTICA,,RAOULTELLA ORNITHINOLYTICA
RAOULTELLA PLANTICOLA,ENTEROBACTERALES,ENTEROBACTERIACEAE,RAOULTELLA,PLANTICOLA,,RAOULTELLA PLANTICOLA
RAOULTELLA,ENTEROBACTERALES,ENTEROBACTERIACEAE,RAOULTELLA,SP,,RAOULTELLA SP
RAOULTELLA SP,ENTEROBACTERALES,ENTEROBACTERIACEAE,RAOULTELLA,SP,,RAOULTELLA SP
RAOULTELLA TERRIGENA,ENTEROBACTERALES,ENTEROBACTERIACEAE,RAOULTELLA,TERRIGENA,,RAOULTELLA TERRIGENA
SALMONELLA ENTERICA SSP ARIZONAE,ENTEROBACTERALES,ENTEROBACTERIACEAE,SALMONELLA,ENTERICA,ARIZONAE,SALMONELLA ENTERICA
SALMONELLA ENTERICA SSP ENTERICA,ENTEROBACTERALES,ENTEROBACTERIACEAE,SALMONELLA,ENTERICA,ENTERICA,SALMONELLA ENTERICA
SALMONELLA GROUP,ENTEROBACTERALES,ENTEROBACTERIACEAE,SALMONELLA,SP,GROUP,SALMONELLA SP
SALMONELLA SP,ENTEROBACTERALES,ENTEROBACTERIACEAE,SALMONELLA,SP,,SALMONELLA SP
SHIGELLA DYSENTERIAE,ENTEROBACTERALES,ENTEROBACTERIACEAE,SHIGELLA,DYSENTERIAE,,SHIGELLA DYSENTERIAE
SHIGELLA GROUP,ENTEROBACTERALES,ENTEROBACTERIACEAE,SHIGELLA,SP,GROUP,SHIGELLA SP
SHIGELLA SP,ENTEROBACTERALES,ENTEROBACTERIACEAE,SHIGELLA,SP,,SHIGELLA SP
YOKENELLA REGENSBURGEI,ENTEROBACTERALES,ENTEROBACTERIACEAE,YOKENELLA,REGENSBURGEI,,YOKENELLA REGENSBURGEI
YOKENELLA SP,ENTEROBACTERALES,ENTEROBACTERIACEAE,YOKENELLA,SP,,YOKENELLA SP
ERWINIA SP,ENTEROBACTERALES,ERWINIACEAE,ERWINIA,SP,,ERWINIA SP
MIXTA CALIDA,ENTEROBACTERALES,ERWINIACEAE,MIXTA,CALIDA,,MIXTA CALIDA
PANTOEA AGGLOMERANS,ENTEROBACTERALES,ERWINIACEAE,PANTOEA,AGGLOMERANS,,PANTOEA AGGLOMERANS
PANTOEA ANANATIS,ENTEROBACTERALES,ERWINIACEAE,PANTOEA,ANANATIS,,PANTOEA ANANATIS
PANTOEA DISPERSA,ENTEROBACTERALES,ERWINIACEAE,PANTOEA,DISPERSA,,PANTOEA DISPERSA
PANTOEA SP,ENTEROBACTERALES,ERWINIACEAE,PANTOEA,SP,,PANTOEA SP
PANTOEA SPP,ENTEROBACTERALES,ERWINIACEAE,PANTOEA,SP,,PANTOEA SP
EDWARDSIELLA SP,ENTEROBACTERALES,HAFNIACEAE,EDWARDSIELLA,SP,,EDWARDSIELLA SP
EDWARDSIELLA TARDA,ENTEROBACTERALES,HAFNIACEAE,EDWARDSIELLA,TARDA,,EDWARDSIELLA TARDA
HAFNIA ALVEI,ENTEROBACTERALES,HAFNIACEAE,HAFNIA,ALVEI,,HAFNIA ALVEI
HAFNIA SP,ENTEROBACTERALES,HAFNIACEAE,HAFNIA,SP,,HAFNIA SP
MOELLERELLA WISCONSENSIS,ENTEROBACTERALES,MORGANELLACEAE,MOELLERELLA,WISCONSENSIS,,MOELLERELLA WISCONSENSIS
MORGANELLA MORGANII,ENTEROBACTERALES,MORGANELLACEAE,MORGANELLA,MORGANII,,MORGANELLA MORGANII
MORGANELLA MORGANII SSP MORGANII,ENTEROBACTERALES,MORGANELLACEAE,MORGANELLA,MORGANII,MORGANII,MORGANELLA MORGANII
MORGANELLA MORGANII SSP SIBONII,ENTEROBACTERALES,MORGANELLACEAE,MORGANELLA,MORGANII,SIBONII,MORGANELLA MORGANII
MORGANELLA MORGANII SSPMORGANII,ENTEROBACTERALES,MORGANELLACEAE,MORGANELLA,MORGANII,MORGANII,MORGANELLA MORGANII
MORGANELLA MORGANIISSP SIBONII,ENTEROBACTERALES,MORGANELLACEAE,MORGANELLA,MORGANII,SIBONII,MORGANELLA MORGANII
MORGANELLA SP,ENTEROBACTERALES,MORGANELLACEAE,MORGANELLA,SP,,MORGANELLA SP
PROTEUS HAUSERI,ENTEROBACTERALES,MORGANELLACEAE,PROTEUS,HAUSERI,,PROTEUS HAUSERI
PROTEUS MIRABILIS,ENTEROBACTERALES,MORGANELLACEAE,PROTEUS,MIRABILIS,,PROTEUS MIRABILIS
PROTEUS PENNERI,ENTEROBACTERALES,MORGANELLACEAE,PROTEUS,PENNERI,,PROTEUS PENNERI
PROTEUS SP,ENTEROBACTERALES,MORGANELLACEAE,PROTEUS,SP,,PROTEUS SP
PROTEUS VULGARIS,ENTEROBACTERALES,MORGANELLACEAE,PROTEUS,VULGARIS,,PROTEUS VULGARIS
PROVIDENCIA ALCALIFACIENS,ENTEROBACTERALES,MORGANELLACEAE,PROVIDENCIA,ALCALIFACIENS,,PROVIDENCIA ALCALIFACIENS
PROVIDENCIA RETTGERI,ENTEROBACTERALES,MORGANELLACEAE,PROVIDENCIA,RETTGERI,,PROVIDENCIA RETTGERI
PROVIDENCIA RUSTIGIANII,ENTEROBACTERALES,MORGANELLACEAE,PROVIDENCIA,RUSTIGIANII,,PROVIDENCIA RUSTIGIANII
PROVIDENCIA SP,ENTEROBACTERALES,MORGANELLACEAE,PROVIDENCIA,SP,,PROVIDENCIA SP
PROVIDENCIA STUARTII,ENTEROBACTERALES,MORGANELLACEAE,PROVIDENCIA,STUARTII,,PROVIDENCIA STUARTII
BRENNERIA QUERCINA,ENTEROBACTERALES,PECTOBACTERIACEAE,BRENNERIA,QUERCINA,,BRENNERIA QUERCINA
EWINGELLA AMERICANA,ENTEROBACTERALES,YERSINIACEAE,EWINGELLA,AMERICANA,,EWINGELLA AMERICANA
EWINGELLA SP,ENTEROBACTERALES,YERSINIACEAE,EWINGELLA,SP,,EWINGELLA SP
RAHNELLA SP,ENTEROBACTERALES,YERSINIACEAE,RAHNELLA,SP,,RAHNELLA SP
ROUIXELLA CHAMBERIENSIS,ENTEROBACTERALES,YERSINIACEAE,ROUXIELLA,CHAMBERIENSIS,,ROUXIELLA CHAMBERIENSIS
ROUXIELLA CHAMBERIENSIS,ENTEROBACTERALES,YERSINIACEAE,ROUXIELLA,CHAMBERIENSIS,,ROUXIELLA CHAMBERIENSIS
ROUXIELLA SP,ENTEROBACTERALES,YERSINIACEAE,ROUXIELLA,SP,,ROUXIELLA SP
SERRATIA FICARIA,ENTEROBACTERALES,YERSINIACEAE,SERRATIA,FICARIA,,SERRATIA FICARIA
SERRATIA FONTICOLA,ENTEROBACTERALES,YERSINIACEAE,SERRATIA,FONTICOLA,,SERRATIA FONTICOLA
SERRATIA GRIMESII,ENTEROBACTERALES,YERSINIACEAE,SERRATIA,GRIMESII,,SERRATIA GRIMESII
SERRATIA LIQUEFACIENS,ENTEROBACTERALES,YERSINIACEAE,SERRATIA,LIQUEFACIENS,,SERRATIA LIQUEFACIENS
SERRATIA LIQUEFACIENS GROUP,ENTEROBACTERALES,YERSINIACEAE,SERRATIA,LIQUEFACIENS,GROUP,SERRATIA LIQUEFACIENS
SERRATIA MARCESCENS,ENTEROBACTERALES,YERSINIACEAE,SERRATIA,MARCESCENS,,SERRATIA MARCESCENS
SERRATIA ODORIFERA,ENTEROBACTERALES,YERSINIACEAE,SERRATIA,ODORIFERA,,SERRATIA ODORIFERA
SERRATIA PLYMUTHICA,ENTEROBACTERALES,YERSINIACEAE,SERRATIA,PLYMUTHICA,,SERRATIA PLYMUTHICA
SERRATIA PROTEAMACULANS,ENTEROBACTERALES,YERSINIACEAE,SERRATIA,PROTEAMACULANS,,SERRATIA PROTEAMACULANS
SERRATIA RUBIDAE,ENTEROBACTERALES,YERSINIACEAE,SERRATIA,RUBIDAEA,,SERRATIA RUBIDAEA
SERRATIA RUBIDAEA,ENTEROBACTERALES,YERSINIACEAE,SERRATIA,RUBIDAEA,,SERRATIA RUBIDAEA
SERRATIA SP,ENTEROBACTERALES,YERSINIACEAE,SERRATIA,SP,,SERRATIA SP
SERRATIA UREILYTICA,ENTEROBACTERALES,YERSINIACEAE,SERRATIA,UREILYTICA,,SERRATIA UREILYTICA
YERSINIA ALDOVAE,ENTEROBACTERALES,YERSINIACEAE,YERSINIA,ALDOVAE,,YERSINIA ALDOVAE
YERSINIA ENTEROCOLITICA,ENTEROBACTERALES,YERSINIACEAE,YERSINIA,ENTEROCOLITICA,,YERSINIA ENTEROCOLITICA
YERSINIA ENTEROCOLITICA GROUP,ENTEROBACTERALES,YERSINIACEAE,YERSINIA,ENTEROCOLITICA,GROUP,YERSINIA ENTEROCOLITICA
YERSINIA FREDERIKSENII,ENTEROBACTERALES,YERSINIACEAE,YERSINIA,FREDERIKSENII,,YERSINIA FREDERIKSENII
YERSINIA FREDERIKSONII,ENTEROBACTERALES,YERSINIACEAE,YERSINIA,FREDERIKSENII,,YERSINIA FREDERIKSENII
YERSINIA INTERMEDIA,ENTEROBACTERALES,YERSINIACEAE,YERSINIA,INTERMEDIA,,YERSINIA INTERMEDIA
YERSINIA KRISTENSENII,ENTEROBACTERALES,YERSINIACEAE,YERSINIA,KRISTENSENII,,YERSINIA KRISTENSENII
YERSINIA PSEUDOTUBERCULOSIS,ENTEROBACTERALES,YERSINIACEAE,YERSINIA,PSEUDOTUBERCULOSIS,,YERSINIA PSEUDOTUBERCULOSIS
YERSINIA RUCKERI,ENTEROBACTERALES,YERSINIACEAE,YERSINIA,RUCKERI,,YERSINIA RUCKERI
YERSINIA SP,ENTEROBACTERALES,YERSINIACEAE,YERSINIA,SP,,YERSINIA SP
CONIDIOBOLUS SP,ENTOMOPHTHORALES,ANCYLISTACEAE,CONIDIOBOLUS,SP,,CONIDIOBOLUS SP
ERYSIPELOTHRIX RHUSIOPATHIAE,ERYSIPELOTRICHALES,ERYSIPELOTRICHACEAE,ERYSIPELOTHRIX,RHUSIOPATHIAE,,ERYSIPELOTHRIX RHUSIOPATHIAE
CLOSTRIDIUM HISTOLYTICA,EUBACTERIALES,CLOSTRIDIACEAE,CLOSTRIDIUM,HISTOLYTICA,,CLOSTRIDIUM HISTOLYTICA
CLOSTRIDIUM PERFRINGENS,EUBACTERIALES,CLOSTRIDIACEAE,CLOSTRIDIUM,PERFRINGENS,,CLOSTRIDIUM PERFRINGENS
CLOSTRIDIUM SP,EUBACTERIALES,CLOSTRIDIACEAE,CLOSTRIDIUM,SP,,CLOSTRIDIUM SP
PEPTOSTREPTOCOCCUS SP,EUBACTERIALES,PEPTOSTREPTOCOCCACEAE,PEPTOSTREPTOCOCCUS,SP,,PEPTOSTREPTOCOCCUS SP
ASPERGILLUS SP,EUROTIALES,ASPERGILLACEAE,ASPERGILLUS,SP,,ASPERGILLUS SP
PENICILLIUM SP,EUROTIALES,ASPERGILLACEAE,PENICILLIUM,SP,,PENICILLIUM SP
PAECILOMYCES SP,EUROTIALES,THERMOASCACEAE,PAECILOMYCES,SP,,PAECILOMYCES SP
CAPNOCYTOPHAGA SP,FLAVOBACTERIALES,FLAVOBACTERIACEAE,CAPNOCYTOPHAGA,SP,,CAPNOCYTOPHAGA SP
FLAVOBACTERIUM LINDANITOLERANS,FLAVOBACTERIALES,FLAVOBACTERIACEAE,FLAVOBACTERIUM,LINDANITOLERANS,,FLAVOBACTERIUM LINDANITOLERANS
FLAVOBACTERIUM SP,FLAVOBACTERIALES,FLAVOBACTERIACEAE,FLAVOBACTERIUM,SP,,FLAVOBACTERIUM SP
MYROIDES SP,FLAVOBACTERIALES,FLAVOBACTERIACEAE,MYROIDES,SP,,MYROIDES SP
BERGEYELLA SP,FLAVOBACTERIALES,WEEKSELLACEAE,BERGEYELLA,SP,,BERGEYELLA SP
BERGEYELLA SP,FLAVOBACTERIALES,WEEKSELLACEAE,BERGEYELLA,SP,,BERGEYELLA SP
BERGYELLA SP,FLAVOBACTERIALES,WEEKSELLACEAE,BERGEYELLA,SP,,BERGEYELLA SP
BEGEYELLA ZOOHELCUM,FLAVOBACTERIALES,WEEKSELLACEAE,BERGEYELLA,ZOOHELCUM,,BERGEYELLA ZOOHELCUM
BERGEYELLA ZOOHELCAM,FLAVOBACTERIALES,WEEKSELLACEAE,BERGEYELLA,ZOOHELCUM,,BERGEYELLA ZOOHELCUM
BERGEYELLA ZOOHELCUM,FLAVOBACTERIALES,WEEKSELLACEAE,BERGEYELLA,ZOOHELCUM,,BERGEYELLA ZOOHELCUM
BERGEYELLLA ZOOHELCUM,FLAVOBACTERIALES,WEEKSELLACEAE,BERGEYELLA,ZOOHELCUM,,BERGEYELLA ZOOHELCUM
BERGEYLLA ZOOHELCUM,FLAVOBACTERIALES,WEEKSELLACEAE,BERGEYELLA,ZOOHELCUM,,BERGEYELLA ZOOHELCUM
ELIZABETHKINGIA MENINGOSEPTICA,FLAVOBACTERIALES,WEEKSELLACEAE,ELIZABETHKINGIA,MENINGOSEPTICA,,ELIZABETHKINGIA MENINGOSEPTICA
ELIZABETHKINGIA MIRICOLA,FLAVOBACTERIALES,WEEKSELLACEAE,ELIZABETHKINGIA,MIRICOLA,,ELIZABETHKINGIA MIRICOLA
ELIZABETHKINGIA SP,FLAVOBACTERIALES,WEEKSELLACEAE,ELIZABETHKINGIA,SP,,ELIZABETHKINGIA SP
EMPEDOBACTER BREVIS,FLAVOBACTERIALES,WEEKSELLACEAE,EMPEDOBACTER,BREVIS,,EMPEDOBACTER BREVIS
EMPEDOBACTER SP,FLAVOBACTERIALES,WEEKSELLACEAE,EMPEDOBACTER,SP,,EMPEDOBACTER SP
EMPEDOBACTER SP,FLAVOBACTERIALES,WEEKSELLACEAE,EMPEDOBACTER,SP,,EMPEDOBACTER SP
REIMERELLA COLUMBINA,FLAVOBACTERIALES,WEEKSELLACEAE,RIEMERELLA,COLUMBINA,,RIEMERELLA COLUMBINA
WAUTERSIELLA FALSENII,FLAVOBACTERIALES,WEEKSELLACEAE,WAUTERSIELLA,FALSENII,,WAUTERSIELLA FALSENII
WEEKSELLA SP,FLAVOBACTERIALES,WEEKSELLACEAE,WEEKSELLA,SP,,WEEKSELLA SP
FUSOBACTERIUM SP,FUSOBACTERIALES,FUSOBACTERIACEAE,FUSOBACTERIUM,SP,,FUSOBACTERIUM SP
OCHROBACTRUM ANTHROPI,HYPHOMICROBIALES,BRUCELLACEAE,OCHROBACTRUM,ANTHROPI,,OCHROBACTRUM ANTHROPI
OCHROBACTERIUM INTERMEDIUM,HYPHOMICROBIALES,BRUCELLACEAE,OCHROBACTRUM,INTERMEDIUM,,OCHROBACTRUM INTERMEDIUM
OCHROBACTRUM INTERMEDIUM,HYPHOMICROBIALES,BRUCELLACEAE,OCHROBACTRUM,INTERMEDIUM,,OCHROBACTRUM INTERMEDIUM
OCHROBACTRUM INTERMEDUIM,HYPHOMICROBIALES,BRUCELLACEAE,OCHROBACTRUM,INTERMEDUIM,,OCHROBACTRUM INTERMEDUIM
OCHROBACTERIUIM SP,HYPHOMICROBIALES,BRUCELLACEAE,OCHROBACTRUM,SP,,OCHROBACTRUM SP
OCHROBACTERUM SP,HYPHOMICROBIALES,BRUCELLACEAE,OCHROBACTRUM,SP,,OCHROBACTRUM SP
OCHROBACTRUM SP,HYPHOMICROBIALES,BRUCELLACEAE,OCHROBACTRUM,SP,,OCHROBACTRUM SP
OCHROCBACTRUM SP,HYPHOMICROBIALES,BRUCELLACEAE,OCHROBACTRUM,SP,,OCHROBACTRUM SP
OCHROMOBACTRUM SP,HYPHOMICROBIALES,BRUCELLACEAE,OCHROBACTRUM,SP,,OCHROBACTRUM SP
AQUAMICROBIUM LUSATIENSE,HYPHOMICROBIALES,PHYLLOBACTERIACEAE,AQUAMICROBIUM,LUSATIENSE,,AQUAMICROBIUM LUSATIENSE
RHIZOBIUM LARRYMOOREI,HYPHOMICROBIALES,RHIZOBIACEAE,RHIZOBIUM,LARRYMOOREI,,RHIZOBIUM LARRYMOOREI
