org_standard,org_order,org_family,org_genus,org_species,org_subspecies,org_clean
TRUPERELLA SP,ACTINOMYCETALES,ACTINOMYCETACEAE,TRUEPERELLA,SP,,TRUEPERELLA SP
AEROMONAS CAVIAE,AEROMONADALES,AEROMONADACEAE,AEROMONAS,CAVIAE,,AEROMONAS CAVIAE
AEROMONAS HYDROPHILA,AEROMONADALES,AEROMONADACEAE,AEROMONAS,HYDROPHILA,,AEROMONAS HYDROPHILA
AEROMONAS HYDROPHILACAVIAE,AEROMONADALES,AEROMONADACEAE,AEROMONAS,HYDROPHILA,CAVIAE,AEROMONAS HYDROPHILA
AEROMONAS PUNCTATA,AEROMONADALES,AEROMONADACEAE,AEROMONAS,PUNCTATA,,AEROMONAS PUNCTATA
AEROMONAS SOBRIA,AEROMONADALES,AEROMONADACEAE,AEROMONAS,SOBRIA,,AEROMONAS SOBRIA
AEROMONAS SP,AEROMONADALES,AEROMONADACEAE,AEROMONAS,SP,,AEROMONAS SP
AEROMONAS VERONII,AEROMONADALES,AEROMONADACEAE,AEROMONAS,VERONII,,AEROMONAS VERONII
BACILLUS ALTITUDINIS,BACILLALES,BACILLACEAE,BACILLUS,ALTITUDINIS,,BACILLUS ALTITUDINIS
BACILLUS CEREUS,BACILLALES,BACILLACEAE,BACILLUS,CEREUS,,BACILLUS CEREUS
BACILLUS PUMILUS,BACILLALES,BACILLACEAE,BACILLUS,PUMILUS,,BACILLUS PUMILUS
BACILLUS SP,BACILLALES,BACILLACEAE,BACILLUS,SP,,BACILLUS SP
BACILLUS SP,BACILLALES,BACILLACEAE,BACILLUS,SP,,BACILLUS SP
LISTERIA MONOCYTOGENES,BACILLALES,LISTERIACEAE,LISTERIA,MONOCYTOGENES,,LISTERIA MONOCYTOGENES
LISTERIA SP,BACILLALES,LISTERIACEAE,LISTERIA,SP,,LISTERIA SP
JEOTGALICOCCUS HALOTOLERANS,BACILLALES,STAPHYLOCOCCACEAE,JEOTGALICOCCUS,HALOTOLERANS,,JEOTGALICOCCUS HALOTOLERANS
MACROCOCCUS CANIS,BACILLALES,STAPHYLOCOCCACEAE,MACROCOCCUS,CANIS,,MACROCOCCUS CANIS
MACROCOCCUS CASEOLYTICUS,BACILLALES,STAPHYLOCOCCACEAE,MACROCOCCUS,CASEOLYTICUS,,MACROCOCCUS CASEOLYTICUS
MACROCOCCUS SP,BACILLALES,STAPHYLOCOCCACEAE,MACROCOCCUS,SP,,MACROCOCCUS SP
STAPHYLOCOCCUS ARGENTEUS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,ARGENTEUS,,STAPHYLOCOCCUS ARGENTEUS
STAPHYLOCOCCUS ARGENTUS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,ARGENTEUS,,STAPHYLOCOCCUS ARGENTEUS
STAPHYLOCOCCUS ARLETTAE,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,ARLETTAE,,STAPHYLOCOCCUS ARLETTAE
STAPHYLOCOCCUS AUREUS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,AUREUS,,STAPHYLOCOCCUS AUREUS
STAPHYLOCOCCUS AURICULARIS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,AURICULARIS,,STAPHYLOCOCCUS AURICULARIS
STAPHYLOCOCCUS BOREALIS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,BOREALIS,,STAPHYLOCOCCUS BOREALIS
STAPHYLOCOCCUS CAPITIS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,CAPITIS,,STAPHYLOCOCCUS CAPITIS
STAPHYLOCOCCUS CAPITUS SS CAPITUS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,CAPITIS,,STAPHYLOCOCCUS CAPITIS
STAPHYLOCOCCUS CAPRAE,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,CAPRAE,,STAPHYLOCOCCUS CAPRAE
STAPHYLOCOCCUS CARNOSUS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,CARNOSUS,,STAPHYLOCOCCUS CARNOSUS
STAPHYLOCOCCUS CARNOSUS SS CARNOSUS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,CARNOSUS,CARNOSUS,STAPHYLOCOCCUS CARNOSUS
STAPHYLOCOCCUS CARNOSUS SSP CARNOSUS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,CARNOSUS,CARNOSUS,STAPHYLOCOCCUS CARNOSUS
STAPHYLOCOCCUS CHROMOGENES,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,CHROMOGENES,,STAPHYLOCOCCUS CHROMOGENES
STAPHYLOCOCCUS COHNII,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,COHNII,,STAPHYLOCOCCUS COHNII
STAPHYLOCOCCUS COHNII SS COHNII,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,COHNII,COHNII,STAPHYLOCOCCUS COHNII
STAPHYLOCOCCUS COHNII SS UREALYTICUS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,COHNII,UREALYTICUS,STAPHYLOCOCCUS COHNII
STAPHYLOCOCCUS COHNII SSP COHNII,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,COHNII,COHNII,STAPHYLOCOCCUS COHNII
STAPHYLOCOCCUS COHNII SSP UREALYTICUS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,COHNII,UREALYTICUS,STAPHYLOCOCCUS COHNII
STAPHYLOCOCCUS CONDIMENTI,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,CONDIMENTI,,STAPHYLOCOCCUS CONDIMENTI
STAPHYLOCOCCUS DELPHINI,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,DELPHINI,,STAPHYLOCOCCUS DELPHINI
STAPHYLOCOCCUS EPIDERMIDIS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,EPIDERMIDIS,,STAPHYLOCOCCUS EPIDERMIDIS
STAPHYLOCOCCUS EQUORUM,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,EQUORUM,,STAPHYLOCOCCUS EQUORUM
STAPHYLOCOCCUS FELIS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,FELIS,,STAPHYLOCOCCUS FELIS
STAPHYLOCOCCUS GALLINARUM,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,GALLINARUM,,STAPHYLOCOCCUS GALLINARUM
STAPHYLOCOCCUS HAEMOLYTICUS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,HAEMOLYTICUS,,STAPHYLOCOCCUS HAEMOLYTICUS
STAPHYLOCOCCUS HOMINIS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,HOMINIS,,STAPHYLOCOCCUS HOMINIS
STAPHYLOCOCCUS HOMINIS SS HOMINIS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,HOMINIS,HOMINIS,STAPHYLOCOCCUS HOMINIS
STAPHYLOCOCCUS HOMINIS SSP HOMINIS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,HOMINIS,HOMINIS,STAPHYLOCOCCUS HOMINIS
STAPHYLOCOCCUS HOMINISAURICULARISWARNERI,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,HOMINIS,AURICULARIS WARNERI,STAPHYLOCOCCUS HOMINIS
STAPHYLOCOCCUS HYICUS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,HYICUS,,STAPHYLOCOCCUS HYICUS
STAPHYLOCOCCUS INTERMEDIUS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,INTERMEDIUS,,STAPHYLOCOCCUS INTERMEDIUS
STAPHYLOCOCCUS KLOOSII,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,KLOOSII,,STAPHYLOCOCCUS KLOOSII
STAPHYLOCOCCUS LENTUS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,LENTUS,,STAPHYLOCOCCUS LENTUS
STAPHYLOCOCCUS LUGDUNENSIS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,LUGDUNENSIS,,STAPHYLOCOCCUS LUGDUNENSIS
STAPHYLOCOCCUS LUTRAE,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,LUTRAE,,STAPHYLOCOCCUS LUTRAE
STAPHYLOCOCCUS MICROTI,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,MICROTI,,STAPHYLOCOCCUS MICROTI
STAPHYLOCOCCUS MUCAE,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,MUSCAE,,STAPHYLOCOCCUS MUSCAE
STAPHYLOCOCCUS MUSCAE,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,MUSCAE,,STAPHYLOCOCCUS MUSCAE
STAPHYLOCOCCUS NAPELENSIS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,NAPELENSIS,,STAPHYLOCOCCUS NAPELENSIS
STAPHYLOCOCCUS NEPALENSIS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,NAPELENSIS,,STAPHYLOCOCCUS NAPELENSIS
STAPHYLOCOCCUS PASTEURI,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,PASTEURI,,STAPHYLOCOCCUS PASTEURI
STAPHYLOCOCCUS PETRASII,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,PETRASII,,STAPHYLOCOCCUS PETRASII
